Name,Type,Address,City,State,Zip Code,Accepts Food Donations?,Website,Unique ID,Latitude,Longitude,Approximate distance,x,y
First Credit Hill Baptist,Food Pantry,4693 GA Highway 251,Townsend,GA,31331,No,,,31.498198,-81.494991,0 km,-9071980.934,3697620.066
Rising Tyde Community Food Pantry/YMCA,Food Pantry,204 Fifth Street.,Tybee Island,GA,31328,Yes,www.tybeeisland.com/rising-tyde-community-food-pantry,,32.007583,-80.844396,0 km,-8999556.963,3764306.029
"Second Harvest of South Georgia, Inc. - Tifton",Food Bank,164 Windy Hill Rd,Tifton,GA,31794,,www.feedingsga.org,,31.406137,-83.505373,0 km,-9295775.577,3685606.842
"Second Harvest of South Georgia, Inc. - Thomasville",Food Bank,120 Roseway Dr,Thomasville,GA,31792,,www.feedingsga.org,,30.845484,-84.002862,0 km,-9351155.771,3612698.572
"Second Harvest of South Georgia, Inc.",Food Bank,1411 Harbin Circle,Valdosta,GA,31601,,www.feedingsga.org,,30.805683,-83.286640,0 km,-9271426.355,3607539.012
God's Storehouse Inc.,Food Pantry,300 McIntosh Street,Vidalia,GA,30474,,,,32.221374,-82.411724,0 km,-9174031.118,3792404.639
Ekklesiastes Enterprises Min,Food Pantry,507 East 5th Street,Vidalia,GA,30474,,www.jewellmoore.com/12-baskets-food-pantry.html,,32.210133,-82.410216,0 km,-9173863.226,3790925.539
JVL/The Refinery,Food Pantry,9014 Central Avenue,Waycross,GA,31501,,www.facebook.com/p/The-Refinery-100064800546391/,,31.214045,-82.331574,0 km,-9165108.872,3660578.271
Waynesville Missionary Baptist,Food Pantry,25486 U.S. 82,Waynesville,GA,31566,,,,31.229180,-81.784448,0 km,-9104203.106,3662548.459
4C Mission,Food Pantry,781 New Post Road,White Oak,GA,31568,,,,31.029038,-81.806829,0 km,-9106694.548,3636520.855
Woodbine United Methodist Church,Food Pantry,405 Bedell Avenue,Woodbine,GA,31569,Yes,woodbineumc.com/,,30.967369,-81.723125,0 km,-9097376.706,3628512.086
