Name,Type,Address,City,State,Zip Code,Accepts Food Donations?,Website,Unique ID,Latitude,Longitude,Approximate distance,x,y
Seventh Day Adventist Adamsvil,Food Pantry,4205 Main Street,Adamsville,AL,35005,No,,,33.594079,-86.946291,0 km,-9678816.785,3974426.131
Alabaster Church of God,Food Pantry,530 1st Ave W,Alabaster,AL,35007,No,,,33.244632,-86.822299,0 km,-9665014.07,3927819.982
First Baptist Church Alabaster,Food Pantry,903 3rd Avenue Northwest,Alabaster,AL,35007,,fbcalabaster.org/community-ministry,,33.246735,-86.827211,0 km,-9665560.96,3928099.889
Mercy Outreach Mission,Food Pantry,501 North Broadway Street,Ashford,AL,36312,Yes,,,31.184785,-85.235898,0 km,-9488416.707,3656770.304
Food Bank of East Alabama,Food Bank,375 Industry Dr.,Auburn,AL,36832,,foodbankofeastalabama.com/,,32.597910,-85.529091,0 km,-9521054.858,3842054.053
Auburn Cares Food Pantry,Food Pantry,300 Roosevelt Drive,Auburn,AL,36849,Yes,aucares.auburn.edu/student-services/campus-food-pantry/,,32.601235,-85.482829,0 km,-9515905.007,3842493.461
I.J. Community Development,Food Pantry,1027 11th St. N,Bessemer,AL,35020,No,,,33.399056,-86.970993,0 km,-9681566.599,3948392.541
Triumph Youth & Adult CDC,Food Pantry,1431 13th Avenue North,Bessemer,AL,35020,Unsure,www.triumphchurchband25.org/home,,33.404767,-86.969320,0 km,-9681380.395,3949154.095
The Grace Place,Food Pantry,1630 Powder Plant Rd,Bessemer,AL,35022,Yes,www.thegraceplaceonline.com/ministries,,33.349705,-87.015256,0 km,-9686494.034,3941813.925
The Foundry Rescue Mission,Food Pantry,1804 6th Avenue North,Bessemer,AL,35020,,foundryministries.com/get-involved/contact/,,33.403673,-86.957766,0 km,-9680094.265,3949008.172
Ministries of Deliverance,Food Pantry,2531 9th Avenue North,Bessemer,AL,35020,No,,,33.414103,-86.954410,0 km,-9679720.632,3950399.022
House of Love,Food Pantry,1001 35th St Ensley,Birmingham,AL,35218,No,feedingal.org/agency-finder-tool/,,33.496700,-86.902220,0 km,-9673910.846,3961419.639
Open Door Church,Food Pantry,1004 McDonald Chapel Road,Birmingham,AL,35224,No,www.odcfathershouse.org/ministries.html,,33.541900,-86.939133,0 km,-9678019.96,3967454.994
Southside Baptist Church,Food Pantry,1016 19th Street South,Birmingham,AL,35205,,southsidebirmingham.org/our-ministries/food-pantry,,33.500542,-86.798416,0 km,-9662355.426,3961932.572
The Community Kitchens,Soup Kitchen,1024 12th Street South,Birmingham,AL,35205,No,thecommunitykitchens.org/,,33.495580,-86.807886,0 km,-9663409.611,3961270.212
Sixth Ave Baptist Church,Food Pantry,1101 Martin Luther King Junior Drive,Birmingham,AL,35211,,www.facebook.com/the6thABC/videos/join-us-as-we-spotlight-the-food-pantry-ministry-of-sixth-avenue-baptist-church/1327653694304806/,,33.484573,-86.838749,0 km,-9666845.32,3959800.962
CHURCH OF THE RECONCILER UMC,Soup Kitchen,112 14TH ST N,Birmingham,AL,35203,Yes,www.churchofthereconciler.com/meals,,33.510941,-86.815045,0 km,-9664206.558,3963320.824
Community Food Bank of Central Alabama,Food Bank,107 Walter Davis Drive,Birmingham,AL,35209,,www.feedingal.org/,,33.473929,-86.837967,0 km,-9666758.301,3958380.423
Woodlawn Christian Center,Food Pantry,139 54th Street North,Birmingham,AL,35212,,woodlawnbham.com/community-ministries/,,33.540227,-86.754473,0 km,-9657463.758,3967231.565
Blazer Kitchen Hill Student Center,Food Pantry,1400 University Boulevard,Birmingham,AL,35233,Yes,www.uab.edu/benfund/blazer-kitchenw,,33.501642,-86.807205,0 km,-9663333.88,3962079.472
Blazer Kitchen Medical Towers,Food Pantry,1613 11th Avenue South,Birmingham,AL,35205,Yes,www.uab.edu/benfund/blazer-kitchen,,33.497890,-86.801533,0 km,-9662702.465,3961578.6
Sardis Missionary Baptist,Food Pantry,1615 4th Court West,Birmingham,AL,35208,,,,33.506833,-86.863443,0 km,-9669594.243,3962772.411
Green Valley Church,Food Pantry,1815 Patton Chapel Road,Birmingham,AL,35226,Yes,gvbc.org,,33.387877,-86.816787,0 km,-9664400.532,3946901.993
Salvation Army City Command,Food Pantry,2015 26th Avenue North,Birmingham,AL,35234,,,,33.544724,-86.823525,0 km,-9665150.547,3967832.24
Redeemed Christian Ch. of God,Food Pantry,213 1st Avenue North,Birmingham,AL,35204,,,,33.502907,-86.830727,0 km,-9665952.315,3962248.24
Alton Food Pantry,Food Pantry,2200 Alton Road,Birmingham,AL,35210,Yes,,,33.568120,-86.645499,0 km,-9645332.784,3970957.511
The Ministry Ctr- Greensprings,Food Pantry,2230 Green Springs Highway,Birmingham,AL,35205,,mcgsonline.org/food-bank/,,33.481333,-86.824495,0 km,-9665258.561,3959368.497
Greater Birmingham Ministries,Food Pantry,2304 12th Avenue North,Birmingham,AL,35234,Yes,gbm.org/serving-people/food-assistance/,,33.529410,-86.809808,0 km,-9663623.656,3965786.929
Alton Church of God,Food Pantry,2305 Old Alton Road,Birmingham,AL,35210,,,,33.568104,-86.645470,0 km,-9645329.555,3970955.293
Disabled American Veterans-DAV,Food Pantry,238 2nd Avenue North,Birmingham,AL,35204,,,,33.504577,-86.830433,0 km,-9665919.609,3962471.2
Homewood Church of Christ,Food Pantry,265 West Oxmoor Road,Birmingham,AL,35209,,homewoodchurch.org/ministries/outreach,,33.438565,-86.841172,0 km,-9667114.991,3953661.88
Independent Presbyterian Church,Food Pantry,3100 Highland Avenue S.,Birmingham,AL,35205,Unsure,ipc-usa.org/serve/ipccm/ipc-food-pantry.html,,33.508448,-86.779902,0 km,-9660294.468,3962988.051
23rd Street Baptist Church South,Food Pantry,331 23rd Street South,Birmingham,AL,35233,Yes,www.facebook.com/people/23rd-Street-Baptist-Church-South/100064946731705/,,33.511409,-86.797670,0 km,-9662272.426,3963383.388
"United Community Center, Inc.",Food Pantry,3617 Hickory Avenue Southwest,Birmingham,AL,35221,,united-center-birmingham.edan.io/,,33.455764,-86.892644,0 km,-9672844.928,3955956.406
Collat Jewish Family Services,Food Pantry,3940 Montclair Road 205,Birmingham,AL,35213,Yes,cjfsbham.org/,,33.509214,-86.757235,0 km,-9657771.256,3963090.251
True Vine Evangelical,Food Pantry,4030 40th Terrace North,Birmingham,AL,35217,,,,33.562396,-86.777303,0 km,-9660005.205,3970192.809
True Vine Evangelical Recovery,Food Pantry,4129 40th Terrace North,Birmingham,AL,35217,Unsure,truevineoutreach.org/events/,,33.564021,-86.778040,0 km,-9660087.225,3970409.844
Adventist Community-Southpark,Food Pantry,414 S Park Rd SW,Birmingham,AL,35211,No,southparkal.adventistchurch.org/announcements,,33.480877,-86.874415,0 km,-9670815.63,3959307.677
Jesus is Lord Ministry,Food Pantry,4911 52 Street,Birmingham,AL,35215,No,www.thelordsfoodbank.com/,,33.662837,-86.692876,0 km,-9650606.778,3983618.598
Thirgood Memorial CME Church,Food Pantry,517 Center Street N,Birmingham,AL,35204,No,www.facebook.com/thirgoodcmechurch/,,33.512345,-86.835917,0 km,-9666530.096,3963508.276
"Project Hopewell, Inc.",Food Pantry,5517 Cairo Avenue,Birmingham,AL,35228,No,feedingal.org/agency-finder-tool/,,33.444197,-86.916569,0 km,-9675508.236,3954413.135
The Community Kitchens of Birmingham/Grace Church Food Pantry,Soup Kitchen,5712 1st Avenue North,Birmingham,AL,35212,Yes,gracechurchwoodlawn.org/outreach/,,33.542699,-86.750241,0 km,-9656992.632,3967561.669
New Pilgrim Baptist Church,Food Pantry,708 Goldwire PL SW,Birmingham,AL,35211,No,,,33.487506,-86.836578,0 km,-9666603.667,3960192.399
Holy Rosary Food Pantry,Food Pantry,7414 Georgia Road,Birmingham,AL,35212,Yes,www.holyrosarybirmingham.com,,33.541387,-86.726712,0 km,-9654373.418,3967386.545
Eastern Area Christian,Food Pantry,8002 2nd Avenue South,Birmingham,AL,35206,,,,33.564555,-86.722404,0 km,-9653893.887,3970481.13
Victorious Living,Food Pantry,8737 4th Avenue South,Birmingham,AL,35206,,www.folchristianchurch.org/folcc-outreach,,33.575657,-86.710632,0 km,-9652583.412,3971964.392
PS Serving Veterans & Comm.,Food Pantry,3805 Huntsville Avenue,Brighton,AL,35020,,,,33.430518,-86.950668,0 km,-9679304.075,3952588.444
Rebirth Christian Fellowship,Food Pantry,700 23rd Avenue Northwest,Center Point,AL,35215,,www.rebirthchristian.org/,,33.645123,-86.706182,0 km,-9652088.029,3981249.674
Triumph Ministry Inc,Food Pantry,17980 Celeste Road,Citronelle,AL,36522,Yes,www.facebook.com/Triumph1Ministry/,,31.066238,-88.233814,0 km,-9822143.29,3641354.361
Living Hope Community Center,Soup Kitchen,309 North Lena Street,Dothan,AL,36303,Yes,www.livinghopedothan.com,,31.227842,-85.396055,0 km,-9506245.37,3662374.288
Catholic Social Services of Dothan,Food Pantry,557 West Main St,Dothan,AL,36301,No,catholicsocialservices.org/emergency-assistance-1,,31.223103,-85.386076,0 km,-9505134.49,3661757.284
Mt. Pilgrim People's Dev. Ctr.,Food Pantry,143 Seminole Circle,Fairfield,AL,35064,,www.peopledevelopmentcenter.org/,,33.468850,-86.924570,0 km,-9676398.814,3957702.573
Fairfield First SDA Church,Food Pantry,540 54th St,Fairfield,AL,35064,No,,,33.484331,-86.909542,0 km,-9674725.949,3959768.689
Metro West Ministries,Food Pantry,6101 Doctor Martin Luther King Boulevard,Fairfield,AL,35064,,,,33.476216,-86.907094,0 km,-9674453.495,3958685.664
"Ecumenical Ministries, Inc.",Food Pantry,564 Fairhope Avenue,Fairhope,AL,36532,Yes,www.baldwinemi.org,,30.522759,-87.897726,0 km,-9784730.044,3570924.132
North Wood United Methodist Church,Food Pantry,1129 Wills Avenue,Florence,AL,35630,Unsure,www.facebook.com/NWUMCFlorence/,,34.816848,-87.682142,0 km,-9760731.399,4139019.344
The Dream Center,Food Pantry,1113 N McKenzie St,Foley,AL,36535,Unsure,www.dreamcenterbaldwincounty.com/initiative/food-pantry,,30.787607,-88.221260,0 km,-9820745.707,3605196.48
Calvary Chapel Fellowship of Foley,Food Pantry,18464 Underwood Road,Foley,AL,36535,No,www.ccfoley.com/ministries,,30.418751,-87.684253,0 km,-9760966.395,3557490.681
Fultondale First Baptist,Food Pantry,409 Main Street,Fultondale,AL,35068,No,myffbc.com/,,33.604062,-86.799985,0 km,-9662530.165,3975760.326
North Jefferson Baptist,Food Pantry,775 Glenn Chapel Road,Gardendale,AL,35071,No,www.njba.net/ministries,,33.688827,-86.872959,0 km,-9670653.571,3987095.168
First Baptist Church Gardendal,Food Pantry,940 Main Street,Gardendale,AL,35071,,www.gfbc.com/recreation-1,,33.649741,-86.812177,0 km,-9663887.338,3981867.207
Little Free Food Pantry,Food Pantry,112 Adams Street,Greenville,AL,36037,Yes,www.fumcgreenville.org/ministries,,31.828395,-86.623118,0 km,-9642841.387,3740805.823
Wednesday Night Connection,Soup Kitchen,112 Adams Street,Greenville,AL,36037,,www.fumcgreenville.org/ministries,,31.828395,-86.623118,0 km,-9642841.387,3740805.823
"Grace Klein Community, Inc.",Food Pantry,2652 Old Rocky Ridge Rd,Hoover,AL,35216,Yes,gracekleincommunity.com/food/,,33.391618,-86.807245,0 km,-9663338.255,3947400.763
Bluff Park UMC,Food Pantry,733 Valley Street,Hoover,AL,35226,Yes,bluffparkumc.org/get-help/,,33.417037,-86.848213,0 km,-9667898.848,3950790.381
First UMC Hueytown,Food Pantry,110 Sunset Drive,Hueytown,AL,35023,Yes,hueytownfirst.com/support-ministrieas,,33.451776,-86.997576,0 km,-9684525.816,3955424.299
Pleasant Ridge Baptist Church,Food Pantry,1343 Hueytown Road,Hueytown,AL,35023,,,,33.446160,-86.995953,0 km,-9684345.234,3954675.019
Food Bank of North Alabama,Food Bank,2000 B. Vernon Ave.,Huntsville,AL,35805,,fbofna.org/,,34.723964,-86.596843,0 km,-9639916.467,4126431.94
Huntsville Assistance Program - Huntsville,Food Pantry,1001 Monroe Street Southwest,Huntsville,AL,35801,Unsure,www.huntsvilleassistanceprogram.org/,,34.722420,-86.590439,0 km,-9639203.532,4126222.862
Salvation Army Emergency Shelter,Soup Kitchen,305 Seminole Drive Southwest,Huntsville,AL,35805,Yes,salvationarmyalm.org/huntsville/,,34.720919,-86.596900,0 km,-9639922.779,4126019.463
Guiding Light Church,Food Pantry,1800 John Rogers Drive,Irondale,AL,35210,,www.guidinglight.org/community-care-garden/,,33.563916,-86.666930,0 km,-9647718.561,3970395.816
King's Way Church,Food Pantry,4445 Crescent Road,Irondale,AL,35210,,,,33.546034,-86.672785,0 km,-9648370.247,3968007.129
Leeds Welfare Cooperative,Food Pantry,1000 Park Drive,Leeds,AL,35094,,,,33.544907,-86.564010,0 km,-9636261.559,3967856.655
St. John the Baptist Catholic Church,Food Pantry,1055 Hughes Road,Madison,AL,35758,No,www.foodbanknorthal.org/findfood/,,34.733258,-86.739668,0 km,-9655815.696,4127690.837
"MT. ZION BAPTIST CHURCH, Food Pantry & Clothing",Food Pantry,1012 Adams Street,Mobile,AL,36603,No,www.mtzionmissionary.org/food_pantry_clothing,,30.694845,-88.060216,0 km,-9802818.371,3593182.022
St Louis Street Baptist Church,Food Pantry,108 North Dearborn Street,Mobile,AL,36602,,www.slsmbc.org/,,30.691313,-88.051168,0 km,-9801811.219,3592724.751
Central Presbyterian Church Food Pantry,Food Pantry,1260 Dauphin Street,Mobile,AL,36604,Yes,cpcmidtown.com/,,30.687870,-88.065226,0 km,-9803376.093,3592279.121
Serving Our Unique People - SOUP,Food Pantry,1320 Center Street,Mobile,AL,36604,,www.facebook.com/servingouruniquepeople/,,30.693763,-88.067535,0 km,-9803633.107,3593042.015
Beacon Light Ministries Food Pantry,Food Pantry,1325 Bragg Street,Montgomery,AL,36108,No,www.facebook.com/BeaconLightMinistriesInc/,,32.358178,-86.323197,0 km,-9609454.311,3810419.433
Pilgrim Rest Project Share,Food Pantry,1436 East Washington Street,Montgomery,AL,36107,Yes,pilgrimrestmbc.org,,32.376772,-86.288576,0 km,-9605600.375,3812870.069
Pilgrim Baptist Missionary Church,Food Pantry,1550 East Washington Street,Montgomery,AL,36107,Yes,www.pilgrimrestmbc.org/,,32.376799,-86.287982,0 km,-9605534.162,3812873.589
Bethany SDA Food Pantry,Food Pantry,1765 Highland Avenue,Montgomery,AL,36107,Yes,bethanymontgomeryal.adventistchurch.org/,,32.372585,-86.284453,0 km,-9605141.338,3812318.128
First Baptist Church/Caring Center,Food Pantry,305 South Perry Street,Montgomery,AL,36104,Yes,montgomeryfbc.org/caring-center/food-distribution/,,32.367003,-86.303680,0 km,-9607281.689,3811582.527
St. Bede Food Pantry,Food Pantry,3870 Atlanta Highway,Montgomery,AL,36109,No,stbede.org,,32.382897,-86.247485,0 km,-9601026.057,3813677.394
Catholic Social Service of Montgomery,Food Pantry,4455 Narrow Lane Road,Montgomery,AL,36116,Yes,catholicsocialservices.org/emergency-assistance-4,,32.320587,-86.281158,0 km,-9604774.618,3805466.625
Montgomery Area Food Bank,Food Bank,521 Trade Center Street,Montgomery,AL,36108,,www.mafb.org,,32.371925,-86.345059,0 km,-9611887.989,3812231.243
Highland Park Baptist Church,Food Pantry,503 South Wilson Dam Road,Muscle Shoals,AL,35661,,hpbaptist.com/,,34.755269,-87.630599,0 km,-9754993.692,4130672.754
New Market United Methodist Church,Food Pantry,310 Hurricane Road,New Market,AL,35761,Yes,newmarketumc.net/bobbie-watkins-odom-food-bank/,,34.907238,-86.426837,0 km,-9620991.486,4151282.32
West Alabama Food Bank,Food Bank,401 65th St.,Tuscaloosa,AL,35476,,westalabamafoodbank.org/,,33.149665,-87.541961,0 km,-9745126.476,3915186.356
Academics in Motion,Food Pantry,1513 12th Street,Northport,AL,35476,,www.facebook.com/Academics-In-Motion-1940030919354211/?ref=page_internal,,33.223898,-87.574630,0 km,-9748763.229,3925060.474
Oak Mountain Missions,Food Pantry,2699 Pelham Parkway,Pelham,AL,35124,No,oakmtnmissions.com/contact-us.html,,33.314042,-86.799050,0 km,-9662426.025,3937062.332
AICC Food Pantry,Food Pantry,163 West Third St,Prattville,AL,36068,Yes,autaugainterfaithcarecenter.com,,32.461192,-86.474736,0 km,-9626323.522,3824002.622
Episcopal Church of the Resurrection,Food Pantry,113 Brown Avenue,Rainbow City,AL,35906,No,resurrectionrbc.dioala.org/Ministries/rainbow-rice-bean-ministry.html,,33.968515,-86.027104,0 km,-9576493.367,4024575.116
Bayou Sara Baptist Church Food Bank,Food Bank,12 Bayou Sara Avenue,Saraland,AL,36571,No,www.bayousarabaptist.org/contact-us/,,30.826987,-88.068183,0 km,-9803705.287,3610300.372
Central Church of Christ,Food Pantry,225 Saraland Boulevard South,Saraland,AL,36571,No,sites.google.com/view/centralsaralandcoc/home,,30.814478,-88.072729,0 km,-9804211.345,3608678.946
Selma Area Food Bank,Food Bank,101 Craig Industrial Park,Selma,AL,36701,,www.selmafoodbank.com/,,32.339546,-86.992295,0 km,-9683938.002,3807964.329
First Baptist Church Stevenson Food Pantry,Food Pantry,1110 Kentucky Avenue,Stevenson,AL,35772,No,www.fbcstevenson.org/,,34.860654,-85.828546,0 km,-9554390.014,4144960.612
Bay Area Food Bank,Food Bank,5248 Mobile South Street,Theodore,AL,36619,,www.bayareafoodbank.org,,30.580548,-88.162832,0 km,-9814241.565,3578394.292
Huntsville Assistance Program - Toney,Food Pantry,11588 Pulaski Pike,Toney,AL,35773,Unsure,huntsvilleap.org/,,34.923990,-86.713614,0 km,-9652915.367,4153556.521
Dependable Hands Food Pantry,Food Pantry,447 Baites Road,Toney,AL,35773,,dependablehandsinc.com/,,34.900616,-86.742875,0 km,-9656172.675,4150383.444
Catholic Social Services of West Alabama,Food Pantry,608 James I Harrison Junior Parkway,Tuscaloosa,AL,35405,Yes,csstuscaloosa.org/how-we-help,,33.176977,-87.529540,0 km,-9743743.8,3918818.263
Canterbury Episcopal Chapel,Food Pantry,812 Fifth Ave,Tuscaloosa,AL,35401,Yes,canterburychapeltuscaloosa.com/ministries-outreach,,33.207982,-87.542473,0 km,-9745183.473,3922942.772
Beulah UMC Food Bank,Food Bank,5284 Lee Road 270,Valley,AL,36854,,beulahumc.net/mission.html,,32.711163,-85.181659,0 km,-9482378.927,3857028.087
Vestavia UMC,Food Pantry,2061 Kentucky Avenue,Vestavia Hills,AL,35216,No,vhmc.org/serve/how-can-i-get-help/,,33.446599,-86.786854,0 km,-9661068.384,3954733.654
Community Family Enrichment Center,Food Pantry,301 N. 23rd Street,Arkadelphia,AR,71923,Yes,communityfamilyenrichmentcenter.weebly.com,,34.125637,-93.077892,0 km,-10361383.497,4045684.561
Batesville Help & Hope,Food Pantry,2622 E Main St,Batesville,AR,72501,No,www.facebook.com/Batesvillehelpandhope/,,35.798903,-91.617479,0 km,-10198811.099,4272985.858
Shepherds Food Pantry,Food Pantry,1990 Forest Hills Boulevard,Bella Vista,AR,72715,Unsure,www.bvlutheran.com/,,36.454963,-94.299620,0 km,-10497385.691,4363405.466
Northside church of Christ,Food Pantry,917 North East Street,Benton,AR,72015,,www.northsidecofc.info/,,34.572165,-92.584942,0 km,-10306508.621,4105890.954
Bentonville Church of Nazarene,Food Pantry,220 Northwest A Street,Bentonville,AR,72712,,www.bnaz.org/#/welcome,,36.374769,-94.209231,0 km,-10487323.59,4352312.245
FPC Food Pantry,Food Pantry,901 Northeast J Street,Bentonville,AR,72712,,www.fpcbentonville.org/,,36.381042,-94.197831,0 km,-10486054.581,4353179.602
Northwest Arkansas Food Bank,Food Bank,1378 June Self Drive,Bethel Heights,AR,72764,,www.NWAfoodbank.org,,36.223475,-94.115000,0 km,-10476833.832,4331414.973
Blytheville Senior Center,Food Pantry,1101 David Lane,Blytheville,AR,72315,,,,35.910964,-89.914774,0 km,-10009266.823,4288377.02
Mississippi County Union Mission - Food Pantry,Food Pantry,400 East Walnut Street,Blytheville,AR,72315,Yes,misscomission.org/,,35.928826,-89.898780,0 km,-10007486.357,4290832.299
Union Hope Baptist Church,Food Pantry,13430 Roadrunner Trl,Booneville,AR,72927,Yes,,,35.140093,-93.921591,0 km,-10455303.674,4182935.558
Cabot United Methodist Church,Food Pantry,2003 South Pine Street,Cabot,AR,72023,Yes,www.cabotumc.org/cumc-food-pantry/,,34.944040,-92.005450,0 km,-10241999.844,4156279.042
Hope's Closet,Food Pantry,2535 S Rockwood Dr,Cabot,AR,72023,No,www.facebook.com/HopesClosetandpantry/,,34.976692,-92.041425,0 km,-10246004.596,4160714.131
Maul Road Church,Food Pantry,1425 Maul Road,Camden,AR,71701,Yes,,,33.596962,-92.855977,0 km,-10336680.088,3974811.369
First UMC - Camden,Food Pantry,223 Jefferson St SW,Camden,AR,71701,Unsure,,,34.380652,-92.164035,0 km,-10259653.468,4080029.479
Good Samaritan Food Pantry dba Fairview UMC,Food Pantry,2603 Mount Holly Road,Camden,AR,71701,,www.umc.org/en/find-a-church/church/?id=62314,,33.225600,-92.700814,0 km,-10319407.388,3925286.991
Fairview United Methodist Church,Food Pantry,2603 Mount Holly Road Southwest,Camden,AR,71701,,www.umc.org/en/find-a-church/church/?id=62314,,33.537153,-92.837181,0 km,-10334587.76,3966821.005
Cedarville Assembly of God,Food Pantry,9530 State Highway 59,Cedarville,AR,72932,,cedarvillefirst.com/,,35.575718,-94.370554,0 km,-10505282.017,4242396.78
2nd Baptist Compassion Center,Food Pantry,709 Oak Street,Clarksville,AR,72830,Yes,,,35.463800,-93.457684,0 km,-10403661.805,4227089.735
"Bethlehem House, Inc.",Soup Kitchen,1115 Parkway Street,Conway,AR,72034,Unsure,www.bethlehemhouse.net/services-info/nightly-soup-kitchen,,35.093711,-92.443844,0 km,-10290801.63,4176623.439
Conway FUMC,Food Pantry,1610 Prince Street,Conway,AR,72034,Yes,www.conwayfumc.org/,,35.092581,-92.446899,0 km,-10291141.7,4176469.688
Conway Ministry Center,Food Pantry,225 E. Robins St,Conway,AR,72032,Yes,www.conwayministrycenter.org/what-we-do-1#individual-services,,35.090513,-92.434892,0 km,-10289805.131,4176188.326
Wesley United Methodist Church,Food Pantry,2310 East Oak Street,Conway,AR,72032,No,www.wesleyumcconway.org/bread-basket.html,,35.091627,-92.393049,0 km,-10285147.19,4176339.829
Amerasian Hometown Mission,Food Pantry,118 Robinson Ln,DE QUEEN,AR,71832,Yes,,,35.201050,-91.831833,0 km,-10222672.933,4191236.712
Tabernacle Baptist Church,Food Pantry,1109 North School Street,Dermott,AR,71638,No,arkansasfoodbank.org/locations/,,33.539519,-91.437617,0 km,-10178788.997,3967137.06
Dierks Community Food Pantry,Food Pantry,811 North Missouri Avenue,Dierks,AR,71833,No,,,34.124676,-94.018000,0 km,-10466035.896,4045555.318
Dumas Food Pantry,Food Pantry,901 E Choctaw St,Dumas,AR,71639,No,,,33.889170,-91.480297,0 km,-10183540.024,4013929.929
Emerson Community Outreach,Food Pantry,107 KELLY ST,Emerson,AR,71740,No,harvestregionalfoodbank.org/columbia/,,33.097347,-93.191846,0 km,-10374068.843,3908232.223
Flint Street Fellowship,Food Pantry,28 Flint Street,Eureka Springs,AR,72632,No,flintstreet.org/#contact,,36.402329,-93.736091,0 km,-10434653.886,4356123.351
The Salvation Army Fayetteville,Food Pantry,219 West 15th Street,Fayetteville,AR,72701,No,southernusa.salvationarmy.org/northwest-arkansas/,,36.047624,-94.162494,0 km,-10482120.906,4307176.272
Mt Comfort Church of Christ,Food Pantry,3249 West Mount Comfort Road,Fayetteville,AR,72704,,mcchurchofchrist.org/,,36.091102,-94.204570,0 km,-10486804.752,4313164.146
First Baptist Church of Fordyce,Food Pantry,501 North Main Street,Fordyce,AR,71742,No,fbcfordyce.com/missions-1,,33.815647,-92.414831,0 km,-10287571.906,4004074.756
River Valley Regional Food Bank,Food Bank,1617 South Zero St,Fort Smith,AR,72901,,www.rvrfoodbank.org/,,35.329425,-94.417767,0 km,-10510537.791,4208739.277
Antioch for Youth and Family,Food Pantry,1402 North 32nd Street,Fort Smith,AR,72902,Yes,www.facebook.com/AntiochYouthFamily,,35.389664,-94.397081,0 km,-10508234.978,4216961.849
South Side Baptist Church Food Pantry,Food Pantry,2400 Dodson Avenue,Fort Smith,AR,72901,,www.ssbconline.org/food_pantry,,35.371930,-94.406771,0 km,-10509313.709,4214540.507
Cavanaugh Freewill Baptist,Food Pantry,2828 Briarcliff Avenue,Fort Smith,AR,72908,Yes,cavanaughchurch.com/,,35.305504,-94.403997,0 km,-10509004.819,4205475.824
Salvation Army Food Pantry - Fort Smith,Food Pantry,301 North 6th Street,Fort Smith,AR,72901,Yes,www.salvationarmyfs.org/,,35.389994,-94.423031,0 km,-10511123.686,4217006.842
Harvest Time,Food Pantry,3100 Briarcliff Avenue,Fort Smith,AR,72908,Yes,www.harvesttime.net/missions/,,35.307092,-94.402698,0 km,-10508860.26,4205692.373
Cliff Terrace Church Food Pantry,Food Pantry,3301 South 66th Street,Fort Smith,AR,72903,Yes,www.cliffterrace.church/,,35.351770,-94.359460,0 km,-10504047.017,4211788.647
River Bridge Food Bank,Food Bank,6101 Kinkead Avenue,Fort Smith,AR,72903,Unsure,riverfs.com/ministries/river-bridge-food-bank,,35.382387,-94.361890,0 km,-10504317.578,4215968.251
Haven Heights Baptist Church,Food Pantry,7701 Highway 271 S.,Fort Smith,AR,72908,Yes,havenheightsbaptistchurch.com,,35.311007,-94.422004,0 km,-10511009.372,4206226.54
Bethlehem Baptist,Food Pantry,505 Hwy 225W,Greenbrier,AR,72058,No,bethlehembaptistchurch.info/food-pantry/,,35.229763,-92.467253,0 km,-10293407.53,4195149.021
Hamburg Helping Hands,Food Pantry,202 W Long St,Hamburg,AR,71646,Yes,,,33.200996,-91.792840,0 km,-10218332.23,3922013.245
OZARK SHARE AND CARE INC.,Food Pantry,102 Hwy 62/65 Bypass,Harrison,AR,72601,Yes,www.ozarkshareandcare.org/,,36.235271,-93.086845,0 km,-10362380.218,4333042.832
Our Lady of Good Hope,Food Pantry,517 S WALKER ST,Hope,AR,71801,No,harvestregionalfoodbank.org/hempstead/,,33.667835,-93.584947,0 km,-10417828.646,3984287.165
Lakeside Baptist Church,Food Pantry,3601 Malvern Avenue,Hot Springs,AR,71901,Yes,lakesidebaptistchurchhs.webs.com/,,34.465281,-92.972986,0 km,-10349705.448,4091450.347
Community Crisis Intervention Jackson House - Soup Kitchen,Food Pantry,705 Malvern Avenue,Hot Springs,AR,71901,No,www.jacksonhouse.org/services/,,34.504732,-93.047976,0 km,-10358053.33,4096778.278
Harvey's Chapel,Food Pantry,2515 Mountain Pine Road,Hot Springs National Park,AR,71913,No,harveyschapel.com/?utm_source=gmb&utm_medium=referral#summary,,34.562671,-93.154248,0 km,-10369883.441,4104607.614
Faith Fellowship,Food Pantry,"3213, Highway 7 North",Hot Springs Village,AR,71909,Yes,ffc-ar.com/faith-fellowship-food-pantry/,,34.622496,-93.049287,0 km,-10358199.214,4112697.492
First Baptist Huntsville,Food Pantry,803 Governor Road,Huntsville,AR,72740,Yes,www.huntsvillefbc.org/food-pantry/,,36.085899,-93.723557,0 km,-10433258.685,4312447.43
Food Bank of Northeast Arkansas,Food Bank,3414 One Place,Jonesboro,AR,72404,,www.foodbankofnea.org,,35.804078,-90.647966,0 km,-10090885.47,4273696.214
Deliverance Family Worship,Food Pantry,403 Scott Street,Jonesboro,AR,72401,Unsure,www.facebook.com/LEAPforwardmovement/?ref=page_internal,,35.848552,-90.686275,0 km,-10095149.999,4279802.307
Nettleton Baptist Church,Food Pantry,7001 E. Johnson,Jonesboro,AR,72402,No,foodbankofnea.org/find-food,,35.864332,-90.613967,0 km,-10087100.632,4281969.672
Salvation Army Jonesboro - Food Pantry,Food Pantry,800 Cate Avenue,Jonesboro,AR,72401,,foodbankofnea.org/county/craighead,,35.842386,-90.696990,0 km,-10096342.721,4278955.49
